hemi,region,pente_preproc,offset_jdac,delta_pente,p_inter,model,n_obs,p_fdr
rh,precuneus,-0.03800814882773497,-0.2727033776977892,0.07218166012295772,0.0005953307780383121,mixedlm,131,0.02251387982705643
lh,precuneus,-0.02628546792704039,-0.3385139699736964,0.06662027431563694,0.000662172936089895,mixedlm,131,0.02251387982705643
rh,pericalcarine,0.1175846797769998,-0.10418371935633466,0.10958188827618012,0.0010967916548535758,mixedlm,131,0.024860610843347716
lh,paracentral,-0.023860672807841092,-0.28084033020431576,0.07272121446252806,0.005672465689342966,mixedlm,131,0.09643191671883043
lh,pericalcarine,0.11303310858225812,-0.16635918354735146,0.0963504261898357,0.007123248137038751,mixedlm,131,0.09687617466372701
rh,lingual,0.09635853192474182,-0.15028428092131985,0.061068336050185267,0.020655711755131756,mixedlm,131,0.21529172773391347
lh,inferiortemporal,-0.08329349202962287,0.09657926591729973,-0.06666437862318947,0.024273365348140986,mixedlm,131,0.21529172773391347
lh,lingual,0.09752599158030158,-0.175520975097238,0.05674032449032291,0.025328438556930996,mixedlm,131,0.21529172773391347
lh,cuneus,0.05617103901305217,-0.11431522828532269,0.04838963168449951,0.02884837363093695,mixedlm,131,0.21796548965596804
rh,superiorparietal,0.014488579308637686,-0.18481959527464675,0.03958361274761807,0.056845424058617866,mixedlm,131,0.38654888359860146
lh,bankssts,-0.0938649918270912,-0.106641171460578,-0.05528342441551628,0.07964800785350842,mixedlm,131,0.45461220681181086
lh,rostralanteriorcingulate,-0.14162093772265436,0.02306119809213518,-0.08088655654706489,0.08022568355502545,mixedlm,131,0.45461220681181086
lh,parsorbitalis,-0.022251874267965183,0.0488570666019519,0.0661859564952737,0.140524399804579,mixedlm,131,0.7350507066701056
lh,medialorbitofrontal,-0.019183880224566397,-0.06878087359184366,0.049060626986142525,0.1521195574846158,mixedlm,131,0.7388664220681339
rh,paracentral,-0.020979799445053234,-0.17982407063944209,0.032585250454570926,0.1736396190275955,mixedlm,131,0.7690719396170596
rh,cuneus,0.08109162054755215,-0.06633706517792212,0.040922170212292684,0.185119789831533,mixedlm,131,0.7690719396170596
rh,inferiortemporal,-0.11984206568422069,0.02926765046659877,-0.04010720008443026,0.1922679849042649,mixedlm,131,0.7690719396170596
lh,postcentral,0.04066261765785385,-0.04406298718977081,-0.028348466516389777,0.20923642528823783,mixedlm,131,0.7904487177555651
rh,precentral,-0.026059599499085408,-0.2765872046383193,0.0323652268687253,0.23977247111086608,mixedlm,131,0.8239528565887039
rh,caudalmiddlefrontal,0.012249965937570691,-0.3314793294690906,0.029692514332885306,0.24233907546726585,mixedlm,131,0.8239528565887039
lh,isthmuscingulate,-0.006459958092315535,-0.058567929225501664,0.03333255228957276,0.26878547228466365,mixedlm,131,0.8312369060224521
rh,isthmuscingulate,0.006683258196829077,-0.08134757189113519,0.03527912476781742,0.2793773110920489,mixedlm,131,0.8312369060224521
rh,lateralorbitofrontal,-0.03313591785720147,0.050126698149686184,0.042588139281052845,0.2811536593899471,mixedlm,131,0.8312369060224521
lh,insula,-0.1900104600618067,0.13725348195431392,-0.04206525571351423,0.3284805525754705,mixedlm,131,0.8748248586586587
lh,inferiorparietal,0.005505066519341199,-0.12636127463407376,-0.027452405921068995,0.371448497753624,mixedlm,131,0.8748248586586587
rh,caudalanteriorcingulate,-0.016468333083349218,-0.04979576876814898,0.04247732283640013,0.37654228757714303,mixedlm,131,0.8748248586586587
lh,posteriorcingulate,0.005429628333521343,-0.006826107421244705,0.02448341706538593,0.3817636663879699,mixedlm,131,0.8748248586586587
rh,supramarginal,-0.07044631567327984,-0.22398444923875796,0.02214599914169019,0.39301178894120925,mixedlm,131,0.8748248586586587
rh,transversetemporal,-0.044512440185803644,0.08440584093413926,-0.034038711780029686,0.39812559808130854,mixedlm,131,0.8748248586586587
rh,parsorbitalis,-0.009623337458375103,0.09244403579259455,-0.045936827077298,0.4181950639490233,mixedlm,131,0.8748248586586587
rh,frontalpole,0.009357532671734763,0.39977578625330473,-0.0821996704017963,0.4349585515539023,mixedlm,131,0.8748248586586587
rh,insula,-0.1552702257012853,0.10962951854056333,-0.03488622299894517,0.4432543344579598,mixedlm,131,0.8748248586586587
lh,middletemporal,-0.1558805586460217,-0.039055249752928754,-0.02738978030533988,0.4639480401273339,mixedlm,131,0.8748248586586587
rh,medialorbitofrontal,-0.00819609868509447,-0.04464336441823001,0.028460766284542544,0.487141244758429,mixedlm,131,0.8748248586586587
lh,precentral,-0.06298247877615946,-0.2248050907991954,0.018757469587085518,0.4873885214629219,mixedlm,131,0.8748248586586587
lh,supramarginal,-0.038420351591439875,-0.19204667833985314,-0.015779576310500452,0.5120938578907843,mixedlm,131,0.8748248586586587
lh,rostralmiddlefrontal,0.0771687472403137,-0.11206647707791065,0.026529968848470538,0.5269511872779532,mixedlm,131,0.8748248586586587
rh,lateraloccipital,0.00527339701028295,0.026502202474724453,0.01840714657653086,0.5288572886236227,mixedlm,131,0.8748248586586587
rh,parstriangularis,0.014992344433097915,-0.1488580502285626,0.027748983490141575,0.564516781009285,mixedlm,131,0.8748248586586587
rh,postcentral,0.017540797152104638,-0.08608008805072705,0.011505706562280225,0.567634830507099,mixedlm,131,0.8748248586586587
rh,rostralmiddlefrontal,0.07721870548367626,-0.1707456507632664,0.02339176925452761,0.5842048001197899,mixedlm,131,0.8748248586586587
rh,posteriorcingulate,0.0009940743387720902,0.05275975747604551,0.013855401581403847,0.5957141286819277,mixedlm,131,0.8748248586586587
lh,caudalanteriorcingulate,-0.08279017428321819,0.029485942381620237,0.022232333589760563,0.6013689664028554,mixedlm,131,0.8748248586586587
rh,inferiorparietal,-0.03897352462616143,-0.18268965953498148,0.012934316246266946,0.6106860384727242,mixedlm,131,0.8748248586586587
rh,entorhinal,-0.3645277149692568,0.10715881215878187,0.04721392868686759,0.6108967190882679,mixedlm,131,0.8748248586586587
lh,lateralorbitofrontal,-0.020428303056069408,0.0847809490211691,0.017927137534429007,0.6213042426582065,mixedlm,131,0.8748248586586587
rh,bankssts,-0.16972598448107673,-0.16112665163567547,0.020079130008021317,0.6227133097453996,mixedlm,131,0.8748248586586587
lh,transversetemporal,-0.07241852418507903,-0.03935300104243225,-0.01658298821582814,0.6252776326473193,mixedlm,131,0.8748248586586587
lh,superiorparietal,0.03694063812075475,-0.144307113845304,0.011335541477599277,0.6428768192631096,mixedlm,131,0.8748248586586587
lh,frontalpole,0.08161668412645169,0.12176367673341065,0.04718947041158408,0.6432535725431314,mixedlm,131,0.8748248586586587
lh,parstriangularis,0.07160573278606203,-0.09744521597630966,-0.013277901755575834,0.6916835782825206,mixedlm,131,0.9081309279089786
rh,rostralanteriorcingulate,-0.16472996061947912,0.03299667354515581,-0.02506722553868752,0.6944530625186307,mixedlm,131,0.9081309279089786
lh,entorhinal,-0.25346198224118016,0.16952768608267704,-0.033218122283502044,0.717820262796099,mixedlm,131,0.9172928781613785
lh,caudalmiddlefrontal,9.748579142189709e-05,-0.20937366725153034,-0.009261982265139246,0.7448519698630145,mixedlm,131,0.9172928781613785
rh,parsopercularis,-0.02432979995600652,-0.17028070141648396,0.010311962011038848,0.7745765845217223,mixedlm,131,0.9172928781613785
rh,fusiform,-0.11176186270679685,-0.06158520469606739,0.00736776219418784,0.7974428444168221,mixedlm,131,0.9172928781613785
lh,lateraloccipital,0.04036793776894934,0.08327409960289658,-0.007789432790809348,0.7999034162279411,mixedlm,131,0.9172928781613785
lh,parsopercularis,-0.06182642809901663,-0.1304402411677651,0.006009794010324329,0.8198742736208504,mixedlm,131,0.9172928781613785
lh,superiorfrontal,-0.056056921094465216,-0.17470508595835796,-0.007541831502267207,0.8241959544188313,mixedlm,131,0.9172928781613785
rh,temporalpole,-0.32806147583434336,0.10871923786491124,0.022528152215808506,0.8349873479286289,mixedlm,131,0.9172928781613785
rh,superiortemporal,-0.17005287956707266,-0.09752048131643422,-0.007374339219788518,0.8373672966807182,mixedlm,131,0.9172928781613785
lh,temporalpole,-0.35526184462400345,0.048311393341817596,0.020375699742357204,0.8471868158637469,mixedlm,131,0.9172928781613785
lh,parahippocampal,-0.17899838052063927,0.016380483620533237,0.0086879905651867,0.8519207259095736,mixedlm,131,0.9172928781613785
rh,middletemporal,-0.17539840769367243,-0.041050442906249374,-0.006493475545044881,0.870195955472836,mixedlm,131,0.9172928781613785
lh,superiortemporal,-0.17252004222517628,-0.12898339802363784,0.005245137361244677,0.8768240747130824,mixedlm,131,0.9172928781613785
lh,fusiform,-0.06773061254917564,-0.04259873395995489,-0.001112365838617076,0.9631639084967714,mixedlm,131,0.9778545377777591
rh,parahippocampal,-0.19522244421148433,-0.04844937203866497,0.0012558250853785223,0.9718355036266157,mixedlm,131,0.9778545377777591
rh,superiorfrontal,-0.02572010696413816,-0.20090287860918427,0.0008969600676544367,0.9778545377777591,mixedlm,131,0.9778545377777591
